"","player_name","Goals.Against","Shots.on.Target.Against","Saves","Save.","Wins","Draws","Losses","Clean.Sheets","Clean.Sheet.Percentage","Penalty.Kicks.Attempted","Penalty.Kicks.Allowed","Penalty.Kicks.Saved","Penalty.Kicks.Missed","Save...Penalty.Kicks.","Goals.Against.1","Penalty.Kicks.Allowed.1","Free.Kick.Goals.Against","Corner.Kick.Goals.Against","Own.Goals.Scored.Against.Goalkeeper","PSxG","PSxG.SoT","PSxG.GA","Passes.Completed..Launched.","Passes.Attempted..Launched.","Pass.Completion.Percentage..Launched.","Passes.Attempted","Throws.Attempted","Launch.","Average.Pass.Length","Goal.Kicks","Launch...Goal.Kicks.","Avg..Length.of.Goal.Kicks","Crosses.Faced","Crosses.Stopped","Crosses.Stopped..","Def..Actions.Outside.Pen..Area","Avg..Distance.of.Def..Actions","player_valuation"
"1","Aarón Escandell"," 1.72"," 4.66"," 3.19","68.40"," 0.12"," 0.37"," 0.49"," 0.25","25.00"," 0.25"," 0.25"," 0.00"," 0.00"," 0.00"," 1.72"," 0.25"," 0.00"," 0.00"," 0.00"," 1.69"," 0.34","-0.02"," 9.44","24.77","38.10","25.26"," 3.19","70.90","50.40"," 8.58","80.00","59.10"," 8.71"," 0.61"," 7.00"," 2.33","16.50",1000000
"2","Aaron Ramsdale"," 1.15"," 4.48"," 3.33","77.00"," 0.55"," 0.09"," 0.36"," 0.45","45.50"," 0.12"," 0.12"," 0.00"," 0.00"," 0.00"," 1.15"," 0.12"," 0.00"," 0.00"," 0.06"," 1.16"," 0.24"," 0.07"," 6.48","18.45","35.10","26.82"," 4.82","48.00","41.20"," 7.00","79.70","62.00"," 8.09"," 0.79"," 9.70"," 0.64","15.00",25000000
