"","Player_Names","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","npxG","xA","npxG.xA","Goals.1","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","Penalty.Kicks.Made.1","Penalty.Kicks.Attempted.1","xG.1","npxG.1","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Assists.1","xA.1","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Passes.Attempted.1","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Completed.1","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Passes.Blocked.1","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Yellow.Cards.1","Red.Cards.1","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Crosses.1","Interceptions.1","Tackles.Won.1","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","Player_valuation"
"11","Achraf Hakimi","  0.11","  0.19","  0.11","  0.00","  0.00","  0.14","  0.03","  0.06","  0.06","  0.18","  0.24","  0.11","  0.73","  0.24"," 33.30","  0.15","  0.44"," 17.30","  0.03","  0.00","  0.00","  0.06","  0.06","  0.08","  0.05","  0.05"," 55.16"," 62.31"," 88.50","830.12","252.56"," 31.35"," 33.73"," 92.90"," 19.88"," 22.21"," 89.50","  2.68","  3.77"," 71.20","  0.19","  0.18","  1.14","  2.30","  1.46","  0.49","  3.82"," 62.31"," 54.37","  7.95","  0.65","  0.03","  6.56","  0.62","  2.30","  0.08","  0.03","  0.00","  0.00"," 48.05"," 10.60","  3.66","  6.45"," 47.40","  0.92","  7.21","  0.08"," 55.16","  0.11","  0.41","  1.93","  1.17","  1.95","  1.55","  0.05","  0.16","  0.03","  0.14","  0.03","  0.30","  0.24","  0.00","  0.03","  0.00","  0.03","  0.00","  2.41","  1.27","  1.38","  0.71","  0.33","  1.03","  2.60"," 39.60","  1.57"," 15.94","  4.56"," 28.60","  6.89","  4.91","  4.15","  1.38","  0.14","  0.00","  1.25","  1.27","  3.69","  1.06","  0.00"," 72.08","  2.68"," 20.50"," 28.42"," 27.28","  3.36"," 64.35","  1.14","  2.03"," 56.00","  1.25","  0.08"," 50.68","230.33","140.36","  6.51","  1.65","  0.89","  1.03","  1.19"," 57.05"," 51.98"," 91.10","  4.26","  0.14","  0.03","  0.00","  0.71","  0.95","  0.22","  2.30","  1.27","  1.27","  0.05","  0.00","  0.00","  4.80","  0.41","  0.89"," 31.30",70000000
"12","Adam Armstrong","  0.15","  0.15","  0.15","  0.00","  0.00","  0.08","  0.00","  0.31","  0.31","  0.13","  0.44","  0.15","  3.23","  1.05"," 32.60","  0.05","  0.14"," 17.20","  0.00","  0.00","  0.00","  0.31","  0.31","  0.10"," -0.16"," -0.16"," 13.52"," 19.46"," 69.50","234.47"," 38.09","  6.01","  7.96"," 75.50","  6.09","  8.11"," 75.00","  1.05","  2.03"," 51.90","  0.15","  0.13","  0.90","  0.90","  0.83","  0.00","  1.50"," 19.46"," 17.50","  1.95","  0.00","  0.08","  3.83","  0.53","  1.43","  0.00","  0.00","  0.00","  0.00"," 13.30","  3.31","  2.85","  3.68"," 13.97","  0.90","  0.15","  0.23"," 13.52","  0.08","  0.15","  0.90","  0.83","  1.95","  1.13","  0.00","  0.30","  0.30","  0.23","  0.00","  0.23","  0.15","  0.00","  0.00","  0.00","  0.08","  0.00","  0.68","  0.45","  0.23","  0.23","  0.23","  0.00","  0.30","  0.00","  0.30"," 14.87","  4.06"," 27.30","  1.58","  5.41","  7.89","  0.53","  0.08","  0.00","  0.45","  0.60","  1.28","  0.38","  0.00"," 30.20","  0.45","  2.78"," 12.10"," 17.95","  5.11"," 28.25","  1.05","  2.18"," 48.30","  1.13","  0.08"," 21.11","124.71"," 69.72","  4.21","  1.28","  1.13","  1.88","  1.58"," 40.49"," 21.19"," 52.30","  6.76","  0.08","  0.00","  0.00","  0.90","  0.60","  0.08","  1.43","  0.60","  0.45","  0.08","  0.00","  0.00","  3.76","  0.75","  2.33"," 24.40",18000000
"13","Adam Forshaw","  0.00","  0.08","  0.00","  0.00","  0.00","  0.23","  0.00","  0.02","  0.02","  0.08","  0.11","  0.00","  0.92","  0.31"," 33.30","  0.00","  0.00"," 26.20","  0.08","  0.00","  0.00","  0.02","  0.02","  0.03"," -0.02"," -0.02"," 37.37"," 44.73"," 83.50","687.70","158.13"," 17.57"," 19.41"," 90.50"," 13.20"," 15.58"," 84.70","  5.29","  7.21"," 73.40","  0.08","  0.08","  0.92","  3.22","  0.46","  0.00","  2.76"," 44.73"," 42.81","  1.92","  1.76","  0.08","  7.52","  2.07","  0.23","  0.00","  0.00","  0.00","  0.00"," 32.99","  4.99","  6.75","  6.37"," 36.21","  1.38","  0.08","  0.15"," 37.37","  0.23","  0.38","  1.46","  0.92","  1.76","  1.69","  0.00","  0.00","  0.08","  0.00","  0.00","  0.08","  0.08","  0.00","  0.00","  0.00","  0.00","  0.00","  2.92","  1.46","  1.15","  1.61","  0.15","  1.07","  2.69"," 40.00","  1.61"," 23.40","  6.37"," 27.20","  6.91"," 12.58","  3.91","  1.23","  0.08","  0.00","  1.15","  1.99","  4.91","  1.00","  0.08"," 54.48","  1.30"," 15.81"," 31.61"," 10.74","  0.54"," 52.86","  0.46","  1.00"," 46.20","  0.46","  0.00"," 35.22","171.56"," 75.19","  2.69","  0.92","  0.08","  0.46","  1.23"," 40.36"," 34.91"," 86.50","  1.61","  0.23","  0.00","  0.00","  2.30","  1.30","  0.15","  0.23","  1.99","  1.46","  0.00","  0.00","  0.00"," 10.20","  0.69","  0.92"," 42.90",2000000
"14","Adam Idah","  0.14","  0.14","  0.14","  0.00","  0.00","  0.00","  0.00","  0.29","  0.29","  0.09","  0.37","  0.14","  2.02","  0.58"," 28.60","  0.07","  0.25"," 12.40","  0.00","  0.00","  0.00","  0.29","  0.29","  0.14"," -0.14"," -0.14"," 13.82"," 20.45"," 67.60","237.60"," 46.37","  6.34","  9.50"," 66.70","  5.76","  7.20"," 80.00","  1.15","  1.73"," 66.70","  0.14","  0.09","  0.58","  1.01","  0.58","  0.29","  1.01"," 20.45"," 19.73","  0.72","  0.00","  0.00","  6.34","  0.58","  1.58","  0.00","  0.00","  0.00","  0.00"," 13.39","  3.74","  3.31","  2.88"," 14.40","  1.15","  0.43","  0.29"," 13.82","  0.00","  0.72","  1.01","  1.58","  1.73","  1.15","  0.14","  0.14","  0.00","  0.29","  0.00","  0.14","  0.14","  0.00","  0.00","  0.00","  0.00","  0.00","  1.58","  0.86","  0.58","  0.72","  0.29","  0.29","  0.72"," 40.00","  0.43"," 13.82","  3.60"," 26.00","  2.16","  6.05","  5.62","  0.58","  0.43","  0.00","  0.14","  0.58","  2.16","  1.15","  0.00"," 33.84","  1.87","  3.89"," 13.39"," 18.29","  4.75"," 33.12","  1.73","  2.30"," 75.00","  1.73","  0.00"," 24.48","134.21"," 48.53","  2.74","  0.43","  0.29","  3.74","  2.45"," 52.42"," 23.33"," 44.50","  7.34","  0.00","  0.00","  0.00","  1.44","  1.73","  1.44","  1.58","  0.58","  0.86","  0.00","  0.00","  0.00","  4.90","  2.30","  5.18"," 30.80",3000000
"15","Adam Lallana","  0.04","  0.04","  0.04","  0.00","  0.00","  0.16","  0.00","  0.11","  0.11","  0.04","  0.15","  0.04","  1.32","  0.33"," 25.00","  0.03","  0.13"," 17.80","  0.00","  0.00","  0.00","  0.11","  0.11","  0.08"," -0.07"," -0.07"," 49.78"," 56.77"," 87.70","793.61","182.76"," 26.27"," 28.98"," 90.60"," 18.98"," 20.67"," 91.80","  3.21","  4.65"," 69.00","  0.04","  0.04","  0.54","  3.71","  1.19","  0.00","  4.41"," 56.77"," 55.87","  0.91","  0.78","  0.08","  9.35","  0.49","  0.45","  0.00","  0.00","  0.00","  0.00"," 44.79","  6.92","  5.06"," 15.19"," 38.87","  1.65","  0.08","  0.33"," 49.78","  0.12","  0.82","  1.36","  0.99","  1.73","  1.52","  0.00","  0.04","  0.00","  0.08","  0.08","  0.21","  0.21","  0.00","  0.00","  0.00","  0.00","  0.00","  2.55","  1.69","  1.19","  1.03","  0.33","  0.78","  2.43"," 32.20","  1.65"," 18.98","  6.42"," 33.80","  7.04","  8.48","  3.46","  1.36","  0.33","  0.00","  1.03","  1.40","  3.95","  0.66","  0.00"," 66.66","  2.22"," 16.84"," 37.59"," 16.63","  2.43"," 66.00","  0.82","  1.40"," 58.80","  0.86","  0.00"," 47.80","199.56"," 95.52","  3.83","  1.11","  0.33","  1.19","  1.07"," 52.70"," 48.01"," 91.10","  3.99","  0.16","  0.00","  0.00","  0.99","  1.36","  0.04","  0.45","  1.40","  1.69","  0.00","  0.00","  0.00"," 10.38","  0.70","  0.78"," 47.20",2500000
"16","Adam Marušic","  0.03","  0.00","  0.03","  0.00","  0.00","  0.10","  0.00","  0.01","  0.01","  0.02","  0.03","  0.03","  0.20","  0.05"," 25.00","  0.13","  0.50"," 18.00","  0.00","  0.00","  0.00","  0.01","  0.01","  0.03","  0.02","  0.02"," 53.34"," 60.78"," 87.80","922.55","312.37"," 25.74"," 27.86"," 92.40"," 21.79"," 24.37"," 89.40","  5.08","  7.03"," 72.30","  0.00","  0.02","  0.28","  3.51","  0.43","  0.15","  3.08"," 60.78"," 54.68","  6.09","  1.14","  0.03","  6.37","  0.76","  0.68","  0.00","  0.00","  0.00","  0.00"," 45.46","  7.99","  7.33","  7.36"," 44.72","  2.68","  4.96","  0.25"," 53.34","  0.13","  0.56","  1.14","  0.83","  0.63","  0.61","  0.00","  0.03","  0.00","  0.00","  0.00","  0.10","  0.10","  0.00","  0.00","  0.00","  0.00","  0.00","  1.26","  0.66","  0.71","  0.46","  0.10","  0.56","  1.31"," 42.30","  0.76","  8.62","  2.48"," 28.70","  4.02","  3.24","  1.37","  1.87","  0.35","  0.00","  1.52","  1.87","  3.13","  2.43","  0.03"," 69.17","  4.53"," 26.06"," 37.39"," 10.77","  0.71"," 63.28","  0.58","  1.09"," 53.50","  0.63","  0.03"," 46.16","228.97","115.56","  4.22","  1.49","  0.08","  0.48","  0.68"," 48.31"," 46.01"," 95.20","  1.34","  0.10","  0.00","  0.00","  0.96","  0.51","  0.03","  0.68","  1.87","  0.66","  0.00","  0.03","  0.03","  8.47","  1.57","  0.81"," 66.00",9000000
"17","Adam Ounas","  0.34","  0.27","  0.34","  0.00","  0.00","  0.07","  0.00","  0.18","  0.18","  0.31","  0.50","  0.34","  2.46","  0.82"," 33.30","  0.14","  0.42"," 16.80","  0.00","  0.00","  0.00","  0.18","  0.18","  0.08","  0.16","  0.16"," 32.14"," 40.69"," 79.00","653.87","158.59"," 12.65"," 15.39"," 82.20"," 13.47"," 15.66"," 86.00","  5.68","  8.00"," 70.90","  0.27","  0.31","  2.26","  2.74","  2.26","  0.41","  4.31"," 40.69"," 38.09","  2.60","  0.75","  0.27","  7.73","  2.67","  1.85","  1.44","  0.75","  0.34","  0.07"," 29.82","  5.06","  5.81"," 32.96","  6.57","  0.55","  0.14","  0.07"," 32.14","  0.00","  0.82","  1.03","  1.50","  4.31","  3.01","  0.27","  0.68","  0.07","  0.27","  0.00","  0.62","  0.34","  0.07","  0.14","  0.07","  0.00","  0.00","  1.16","  0.62","  0.27","  0.68","  0.21","  0.34","  0.82"," 41.70","  0.48"," 15.39","  3.08"," 20.00","  3.42","  7.45","  4.51","  1.16","  0.14","  0.00","  1.03","  0.68","  1.85","  0.34","  0.00"," 55.26","  0.68","  7.32"," 29.41"," 25.44","  4.45"," 52.86","  3.90","  5.68"," 68.70","  4.10","  0.21"," 47.53","290.93","183.42","  7.39","  3.08","  1.64","  2.39","  2.80"," 53.21"," 42.26"," 79.40","  5.81","  0.07","  0.00","  0.00","  1.57","  2.80","  0.62","  1.85","  0.68","  0.62","  0.00","  0.00","  0.00","  6.43","  0.55","  1.44"," 27.60",8000000
"18","Ádám Szalai","  0.29","  0.00","  0.29","  0.00","  0.00","  0.29","  0.00","  0.38","  0.38","  0.14","  0.52","  0.29","  2.60","  1.01"," 38.90","  0.11","  0.29"," 13.20","  0.00","  0.00","  0.00","  0.38","  0.38","  0.15"," -0.09"," -0.09"," 15.75"," 24.99"," 63.00","219.44"," 47.67","  8.96"," 12.86"," 69.70","  3.76","  6.79"," 55.30","  0.87","  1.88"," 46.20","  0.00","  0.14","  1.16","  0.72","  0.14","  0.00","  1.59"," 24.99"," 24.27","  0.72","  0.00","  0.14","  8.96","  0.43","  0.58","  0.00","  0.00","  0.00","  0.00"," 11.85","  7.95","  5.20","  3.18"," 15.46","  2.46","  0.29","  1.01"," 15.75","  0.14","  0.58","  1.59","  1.30","  2.17","  1.73","  0.00","  0.00","  0.14","  0.14","  0.14","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.16","  1.01","  0.14","  0.58","  0.43","  0.29","  0.72"," 40.00","  0.43"," 18.06","  6.07"," 33.60","  1.16","  7.80","  9.10","  0.72","  0.00","  0.00","  0.72","  0.29","  1.44","  0.00","  0.00"," 40.74","  0.00","  2.17"," 17.19"," 22.97","  7.22"," 40.02","  1.16","  1.88"," 61.50","  1.30","  0.14"," 26.15"," 74.54"," 30.05","  1.59","  0.43","  0.14","  4.77","  3.47"," 64.43"," 30.91"," 48.00","  9.10","  0.29","  0.00","  0.00","  2.89","  1.59","  1.01","  0.58","  0.29","  1.01","  0.00","  0.00","  0.00","  5.63","  2.74","  5.20"," 34.50",800000
"19","Adam Webster","   0.15","   0.00","   0.15","   0.00","   0.00","   0.25","   0.00","   0.06","   0.06","   0.01","   0.07","   0.15","   0.55","   0.15","  27.30","   0.27","   1.00","   9.60","   0.00","   0.00","   0.00","   0.06","   0.06","   0.13","   0.09","   0.09","  61.00","  72.02","  84.70","1322.60"," 464.87","  16.73","  18.68","  89.50","  33.61","  36.51","  92.00","  10.12","  15.48","  65.40","   0.00","   0.01","   0.05","   5.51","   0.10","   0.00","   4.11","  72.02","  70.37","   1.65","   0.90","   0.00","   8.71","   2.10","   0.20","   0.00","   0.00","   0.00","   0.00","  55.44","   5.06","  11.52","  15.68","  50.13","   3.46","   0.75","   0.25","  61.00","   0.05","   1.20","   1.60","   0.90","   0.55","   0.50","   0.00","   0.00","   0.00","   0.05","   0.00","   0.05","   0.05","   0.00","   0.00","   0.00","   0.00","   0.00","   1.30","   0.80","   0.85","   0.35","   0.10","   0.55","   1.35","  40.70","   0.80","   8.01","   3.11","  38.80","   4.56","   2.90","   0.55","   2.35","   1.00","   0.00","   1.35","   1.95","   3.26","   4.86","   0.10","  83.39","   8.81","  44.22","  40.77","   6.41","   0.85","  81.79","   0.35","   0.45","  77.80","   0.35","   0.05","  55.74"," 343.12"," 219.22","   5.01","   1.60","   0.10","   0.35","   0.30","  60.15","  59.30","  98.60","   0.10","   0.25","   0.00","   0.00","   1.10","   0.30","   0.00","   0.20","   1.95","   0.80","   0.00","   0.00","   0.00","  10.77","   3.06","   1.20","  71.80",18000000
"20","Adama Soumaoro","  0.03","  0.00","  0.03","  0.00","  0.00","  0.31","  0.03","  0.07","  0.07","  0.00","  0.07","  0.03","  0.44","  0.10"," 23.10","  0.08","  0.33","  7.70","  0.00","  0.00","  0.00","  0.07","  0.07","  0.15"," -0.03"," -0.03"," 43.03"," 46.86"," 91.80","817.86","241.19"," 15.31"," 16.65"," 92.00"," 21.98"," 23.07"," 95.30","  5.09","  6.12"," 83.20","  0.00","  0.00","  0.03","  1.81","  0.03","  0.00","  2.19"," 46.86"," 43.72","  3.14","  2.73","  0.00","  4.96","  0.58","  0.07","  0.00","  0.00","  0.00","  0.00"," 38.42","  4.07","  4.38","  3.52"," 38.56","  2.60","  0.41","  0.31"," 43.03","  0.07","  0.41","  0.44","  0.34","  0.51","  0.44","  0.00","  0.00","  0.03","  0.00","  0.03","  0.03","  0.03","  0.00","  0.00","  0.00","  0.00","  0.00","  1.06","  0.68","  0.75","  0.24","  0.07","  0.24","  0.55"," 43.80","  0.31","  8.51","  3.14"," 36.90","  4.89","  3.18","  0.44","  1.50","  0.85","  0.00","  0.65","  1.50","  2.56","  4.14","  0.00"," 55.96","  6.70"," 26.22"," 29.70","  2.97","  0.75"," 53.02","  0.17","  0.24"," 71.40","  0.17","  0.00"," 32.47","158.12"," 78.89","  2.09","  0.41","  0.03","  0.31","  0.14"," 35.38"," 34.32"," 97.00","  0.17","  0.31","  0.03","  0.00","  1.37","  0.72","  0.03","  0.07","  1.50","  0.68","  0.00","  0.10","  0.03","  8.85","  3.14","  0.79"," 80.00",4000000
"21","Adama Traoré","  0.11","  0.22","  0.11","  0.00","  0.00","  0.04","  0.00","  0.15","  0.15","  0.16","  0.31","  0.11","  1.95","  0.60"," 30.80","  0.06","  0.19"," 18.00","  0.00","  0.00","  0.00","  0.15","  0.15","  0.08"," -0.04"," -0.04"," 21.69"," 29.86"," 72.60","359.93"," 72.39"," 11.24"," 13.86"," 81.10","  7.83"," 10.68"," 73.30","  2.06","  3.48"," 59.10","  0.22","  0.16","  1.57","  1.42","  1.12","  0.56","  2.17"," 29.86"," 29.64","  0.22","  0.00","  0.00","  7.57","  0.82","  3.78","  0.00","  0.00","  0.00","  0.00"," 19.75","  4.27","  5.85","  3.63"," 23.79","  0.45","  0.19","  0.26"," 21.69","  0.11","  0.82","  1.16","  1.69","  3.63","  2.44","  0.00","  0.67","  0.00","  0.37","  0.15","  0.37","  0.30","  0.00","  0.04","  0.00","  0.04","  0.00","  0.97","  0.71","  0.45","  0.26","  0.26","  0.22","  0.79"," 28.60","  0.56"," 12.06","  3.67"," 30.40","  2.44","  6.00","  3.63","  0.90","  0.11","  0.00","  0.79","  0.41","  1.39","  0.34","  0.04"," 44.78","  0.52","  4.23"," 20.16"," 25.67","  5.21"," 44.55","  4.50","  6.44"," 69.80","  4.83","  0.11"," 40.88","294.24","189.59","  9.59","  2.51","  2.81","  3.11","  2.62"," 51.41"," 35.37"," 68.80","  6.63","  0.04","  0.00","  0.00","  1.54","  3.22","  0.49","  3.78","  0.41","  0.71","  0.00","  0.00","  0.00","  5.51","  1.76","  2.55"," 40.90",28000000
"22","Adama Traoré1","  0.37","  0.12","  0.37","  0.00","  0.00","  0.12","  0.00","  0.13","  0.13","  0.05","  0.18","  0.37","  1.58","  0.73"," 46.20","  0.23","  0.50"," 18.10","  0.00","  0.00","  0.00","  0.13","  0.13","  0.08","  0.23","  0.23"," 13.88"," 19.49"," 71.30","210.57"," 33.25","  9.50"," 11.45"," 83.00","  2.92","  5.48"," 53.30","  1.22","  1.95"," 62.50","  0.12","  0.05","  0.37","  0.37","  0.37","  0.00","  0.85"," 19.49"," 18.27","  1.22","  0.12","  0.00","  4.63","  0.85","  0.49","  0.00","  0.00","  0.00","  0.00"," 12.42","  3.41","  3.65"," 13.64","  2.92","  0.97","  0.12","  0.37"," 13.88","  0.12","  0.97","  0.73","  0.73","  0.97","  0.73","  0.00","  0.00","  0.00","  0.24","  0.00","  0.24","  0.12","  0.00","  0.00","  0.00","  0.12","  0.00","  1.22","  0.85","  0.24","  0.85","  0.12","  0.61","  1.46"," 41.70","  0.85"," 18.02","  4.14"," 23.00","  3.29","  9.13","  5.60","  1.34","  0.37","  0.00","  0.97","  0.49","  1.71","  1.10","  0.00"," 35.20","  1.71","  7.19"," 16.93"," 14.61","  3.04"," 34.10","  1.71","  3.78"," 45.20","  1.83","  0.12"," 22.77","130.80"," 71.24","  3.53","  1.71","  0.61","  4.51","  2.07"," 41.29"," 24.72"," 59.90","  4.14","  0.12","  0.00","  0.00","  1.34","  1.46","  0.12","  0.49","  0.49","  0.85","  0.00","  0.00","  0.00","  4.26","  2.44","  4.14"," 37.00",3000000
"23","Ademola Lookman","  0.17","  0.09","  0.17","  0.00","  0.00","  0.17","  0.00","  0.22","  0.22","  0.16","  0.38","  0.17","  1.60","  0.47"," 29.70","  0.11","  0.36"," 14.40","  0.00","  0.00","  0.00","  0.22","  0.22","  0.14"," -0.04"," -0.04"," 26.98"," 35.96"," 75.00","401.35","110.98"," 15.76"," 18.39"," 85.70","  8.85"," 11.01"," 80.40","  1.64","  4.19"," 39.20","  0.09","  0.16","  1.68","  1.25","  1.38","  0.13","  3.19"," 35.96"," 32.50","  3.45","  0.95","  0.09","  6.00","  0.82","  1.77","  1.64","  0.78","  0.60","  0.13"," 28.58","  3.06","  4.32","  6.91"," 27.93","  0.52","  0.43","  0.04"," 26.98","  0.13","  0.52","  1.51","  1.68","  2.76","  1.86","  0.35","  0.26","  0.13","  0.13","  0.04","  0.17","  0.09","  0.04","  0.00","  0.00","  0.04","  0.00","  1.81","  1.08","  0.56","  0.82","  0.43","  0.47","  1.47"," 32.40","  0.99"," 20.07","  5.44"," 27.10","  5.09","  9.02","  5.96","  1.38","  0.09","  0.00","  1.30","  1.21","  3.02","  0.35","  0.00"," 49.94","  0.60","  5.96"," 22.06"," 25.51","  5.65"," 46.58","  2.37","  3.88"," 61.10","  2.46","  0.22"," 39.19","191.57","109.30","  6.22","  1.55","  1.38","  2.33","  2.68"," 46.23"," 33.93"," 73.40","  6.99","  0.17","  0.00","  0.00","  2.07","  2.42","  0.60","  1.77","  1.21","  1.08","  0.04","  0.00","  0.00","  6.82","  0.30","  1.12"," 21.20",9000000
"24","Adil Aouchiche","  0.00","  0.43","  0.00","  0.00","  0.00","  0.21","  0.00","  0.09","  0.09","  0.17","  0.26","  0.00","  1.64","  0.64"," 39.10","  0.00","  0.00"," 22.90","  0.07","  0.00","  0.00","  0.09","  0.09","  0.06"," -0.09"," -0.09"," 38.52"," 50.34"," 76.50","712.74","186.41"," 19.15"," 22.14"," 86.50"," 11.61"," 13.88"," 83.60","  6.12"," 10.89"," 56.20","  0.43","  0.17","  2.28","  2.92","  1.14","  0.43","  3.35"," 50.34"," 43.93","  6.41","  1.85","  0.21","  8.33","  3.92","  1.85","  3.70","  1.28","  1.64","  0.07"," 35.39","  4.34"," 10.61","  7.33"," 39.80","  1.42","  0.36","  0.57"," 38.52","  0.07","  1.28","  2.21","  1.35","  4.20","  1.92","  1.21","  0.14","  0.14","  0.64","  0.14","  0.57","  0.28","  0.21","  0.00","  0.00","  0.07","  0.00","  1.92","  1.28","  0.50","  0.57","  0.85","  0.64","  2.28"," 28.10","  1.64"," 26.99","  7.48"," 27.70","  4.49"," 14.45","  8.05","  1.00","  0.00","  0.00","  1.00","  1.50","  3.42","  0.78","  0.00"," 64.22","  0.71"," 10.25"," 34.89"," 25.35","  2.14"," 58.17","  1.42","  2.78"," 51.30","  1.57","  0.14"," 44.07","260.03","163.91","  7.76","  2.99","  0.57","  2.42","  2.14"," 53.62"," 43.93"," 81.90","  3.92","  0.21","  0.00","  0.00","  1.21","  1.57","  0.14","  1.85","  1.50","  1.28","  0.00","  0.00","  0.00","  7.19","  1.07","  1.78"," 37.50",7000000
"25","Adil Rami","  0.25","  0.00","  0.25","  0.00","  0.00","  0.08","  0.00","  0.07","  0.07","  0.00","  0.07","  0.25","  0.42","  0.25"," 60.00","  0.60","  1.00","  6.60","  0.00","  0.00","  0.00","  0.07","  0.07","  0.16","  0.18","  0.18"," 31.99"," 38.20"," 83.70","730.49","267.40"," 10.24"," 11.42"," 89.70"," 14.52"," 16.04"," 90.60","  6.97"," 10.07"," 69.20","  0.00","  0.00","  0.08","  1.60","  0.08","  0.00","  1.60"," 38.20"," 36.69","  1.51","  1.18","  0.00","  4.45","  2.69","  0.00","  0.00","  0.00","  0.00","  0.00"," 27.96","  3.19","  7.05","  4.45"," 31.40","  1.09","  0.34","  0.08"," 31.99","  0.17","  1.60","  0.50","  0.50","  0.42","  0.34","  0.00","  0.00","  0.08","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.34","  1.01","  0.84","  0.42","  0.08","  0.84","  1.09"," 76.90","  0.25","  6.97","  2.43"," 34.90","  4.11","  2.69","  0.17","  1.34","  0.67","  0.00","  0.67","  1.51","  2.85","  3.36","  0.00"," 46.09","  7.47"," 28.96"," 17.38","  2.35","  0.76"," 44.66","  0.34","  0.50"," 66.70","  0.42","  0.00"," 27.71","139.87"," 71.61","  1.26","  0.42","  0.00","  0.50","  0.17"," 30.73"," 29.55"," 96.20","  0.00","  0.08","  0.00","  0.00","  0.76","  0.42","  0.00","  0.00","  1.51","  1.01","  0.00","  0.00","  0.00","  7.14","  1.85","  0.84"," 68.80",250000
