player_name,player_page
Kawhi Leonard,https://www.spotrac.com/redirect/player/8066/
Derrick Rose,https://www.spotrac.com/redirect/player/6095/
Buddy Hield,https://www.spotrac.com/redirect/player/20211/
Jalen Rose,https://www.spotrac.com/redirect/player/12216/
Tracy McGrady,https://www.spotrac.com/redirect/player/2397/
Grant Hill,https://www.spotrac.com/redirect/player/2662/
Jimmy Butler,https://www.spotrac.com/redirect/player/8081/
Paul George,https://www.spotrac.com/redirect/player/6892/
Kenyon Martin,https://www.spotrac.com/redirect/player/2293/
Mikal Bridges,https://www.spotrac.com/redirect/player/26976/
Michael Redd,https://www.spotrac.com/redirect/player/2564/
Paul Millsap,https://www.spotrac.com/redirect/player/2754/
Duncan Robinson,https://www.spotrac.com/redirect/player/27658/
Norman Powell,https://www.spotrac.com/redirect/player/17874/
Clint Capela,https://www.spotrac.com/redirect/player/15377/
Kevin Durant,https://www.spotrac.com/redirect/player/2717/
Shaquille O'Neal,https://www.spotrac.com/redirect/player/2666/
DeAndre Jordan,https://www.spotrac.com/redirect/player/6117/
Dwight Howard,https://www.spotrac.com/redirect/player/2640/
Aaron Gordon,https://www.spotrac.com/redirect/player/15356/
Anfernee Hardaway,https://www.spotrac.com/redirect/player/13457/
Pau Gasol,https://www.spotrac.com/redirect/player/2518/
Andrei Kirilenko,https://www.spotrac.com/redirect/player/2751/
Baron Davis,https://www.spotrac.com/redirect/player/2317/
Shawn Marion,https://www.spotrac.com/redirect/player/2552/
LeBron James,https://www.spotrac.com/redirect/player/2257/
Russell Westbrook,https://www.spotrac.com/redirect/player/6141/
Goran Dragic,https://www.spotrac.com/redirect/player/6146/
Kyle Lowry,https://www.spotrac.com/redirect/player/2536/
Harrison Barnes,https://www.spotrac.com/redirect/player/10815/
Malcolm Brogdon,https://www.spotrac.com/redirect/player/20242/
Evan Fournier,https://www.spotrac.com/redirect/player/10845/
Victor Oladipo,https://www.spotrac.com/redirect/player/13315/
Fred VanVleet,https://www.spotrac.com/redirect/player/20778/
John Wall,https://www.spotrac.com/redirect/player/6882/
Zach Randolph,https://www.spotrac.com/redirect/player/2626/
LaMarcus Aldridge,https://www.spotrac.com/redirect/player/2672/
Gary Harris,https://www.spotrac.com/redirect/player/15371/
Kobe Bryant,https://www.spotrac.com/redirect/player/2514/
Dwight Howard,https://www.spotrac.com/redirect/player/2640/
Rudy Gay,https://www.spotrac.com/redirect/player/2534/
Elton Brand,https://www.spotrac.com/redirect/player/2465/
Tristan Thompson,https://www.spotrac.com/redirect/player/8054/
Draymond Green,https://www.spotrac.com/redirect/player/10860/
DeMar DeRozan,https://www.spotrac.com/redirect/player/6327/
Ray Allen,https://www.spotrac.com/redirect/player/2209/
Mike Bibby,https://www.spotrac.com/redirect/player/2195/
Andre Iguodala,https://www.spotrac.com/redirect/player/2652/
Gary Payton,https://www.spotrac.com/redirect/player/13522/
Lonzo Ball,https://www.spotrac.com/redirect/player/23597/
Dirk Nowitzki,https://www.spotrac.com/redirect/player/2279/
Rasheed Wallace,https://www.spotrac.com/redirect/player/2311/
Ryan Anderson,https://www.spotrac.com/redirect/player/6133/
Reggie Jackson,https://www.spotrac.com/redirect/player/8075/
Aaron Gordon,https://www.spotrac.com/redirect/player/15356/
Myles Turner,https://www.spotrac.com/redirect/player/17839/
Davis Bertans,https://www.spotrac.com/redirect/player/8094/
Vince Carter,https://www.spotrac.com/redirect/player/2590/
Elton Brand,https://www.spotrac.com/redirect/player/2465/
David Lee,https://www.spotrac.com/redirect/player/2623/
Antawn Jamison,https://www.spotrac.com/redirect/player/2763/
Paul Pierce,https://www.spotrac.com/redirect/player/2217/
Carmelo Anthony,https://www.spotrac.com/redirect/player/2283/
James Harden,https://www.spotrac.com/redirect/player/6312/
Russell Westbrook,https://www.spotrac.com/redirect/player/6141/
Zach LaVine,https://www.spotrac.com/redirect/player/15365/
Scottie Pippen,https://www.spotrac.com/redirect/player/47554/
Marcus Smart,https://www.spotrac.com/redirect/player/15358/
