"var","rel.inf"
"bird_rights",22.3048228597311
"maximum_contract",16.3105400623867
"age",7.75258556399184
"mp",7.14781105647847
"pts",5.2633559134794
"fta",3.15911878337611
"gs",2.01355228401049
"tov",1.86374863519755
"drb",1.72404152958162
"rookie_contract",1.59072518480912
"trb",1.54110193657635
"ft",1.43733819679731
"three_par",1.30455851670083
"two_pa",1.17039903087141
"g",1.16742399832601
"fg",1.08159384711287
"ft_pct",1.08047806363991
"fga",1.06981117507055
"ftr",1.05762895407213
"tov_pct",1.01323034420927
"dws",0.972318975709301
"usg_pct",0.868552607686166
"ast_pct",0.844785651546168
"ast",0.840563581021026
"two_p_pct",0.828439980187264
"drb_pct",0.804597132341633
"obpm",0.748912252692071
"stl_pct",0.737372948347495
"pf",0.729343873201148
"ows",0.691408819126325
"orb_pct",0.676483629399268
"three_p_pct",0.675674082007701
"trb_pct",0.673129689993131
"ts_pct",0.661234613551143
"per",0.64954282518124
"fg_pct",0.614972705092944
"blk_pct",0.605341522464285
"efg_pct",0.589550649227347
"ws_pct48",0.564991881024143
"vorp",0.528962504507227
"dbpm",0.486849838929981
"stl",0.480310293852996
"bpm",0.467314329682273
"two_p",0.458872564504509
"orb",0.44607598678134
"ws",0.430649687556977
"three_pa",0.426637146831471
"blk",0.422264692685412
"three_p",0.399734394635866
"US_Player",0.205976841958226
"pos_PF",0.202394605112441
"pos_C",0.0655682623620501
"pos_SG",0.0492391756304242
"pos_PG",0.0484113495719452
"pos_SF",0.0297468077758569
"super_max_contract",0.0199081614021619
